Script,Type,Message,Item
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/hdinsight
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/iot
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/key-vault
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/logic-apps
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/media-services
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/mixed-reality
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/monitoring
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/network
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/notification-hubs
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/other
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/postgresql-mysql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/postgresql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/power-bi
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/recovery-services-backup
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/redis
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/resources
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/scheduler
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/search
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/servicebus
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/sql
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/storage
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/traffic-manager
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/virtualmachines
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/python/azure/webapps
extract-scrapings, INFO, Files processed, 12000
extract-scrapings, INFO, Files processed, 12100
extract-scrapings, INFO, Files processed, 12200
extract-scrapings, INFO, Files processed, 12300
extract-scrapings, INFO, Files processed, 12400
extract-scrapings, INFO, Files processed, 12500
extract-scrapings, INFO, Files processed, 12600
extract-scrapings, INFO, Files processed, 12700
extract-scrapings, INFO, Files processed, 12800
extract-scrapings, INFO, Files processed, 12900
extract-scrapings, INFO, Files processed, 13000
extract-scrapings, INFO, Files processed, 13100
extract-scrapings, INFO, Files processed, 13200
extract-scrapings, INFO, Files processed, 13300
extract-scrapings, INFO, Files processed, 13400
extract-scrapings, INFO, Files processed, 13500
extract-scrapings, INFO, Files processed, 13600
extract-scrapings, INFO, Files processed, 13700
extract-scrapings, INFO, Files processed, 13800
extract-scrapings, INFO, Files processed, 13900
extract-scrapings, INFO, Files processed, 14000
extract-scrapings, INFO, Files processed, 14100
extract-scrapings, INFO, Files processed, 14200
extract-scrapings, INFO, Files processed, 14300
extract-scrapings, INFO, Files processed, 14400
extract-scrapings, INFO, Files processed, 14500
extract-scrapings, INFO, Files processed, 14600
extract-scrapings, INFO, Files processed, 14700
extract-scrapings, INFO, Files processed, 14800
extract-scrapings, INFO, Files processed, 14900
extract-scrapings, INFO, Files processed, 15000
extract-scrapings, INFO, Files processed, 15100
extract-scrapings, INFO, Files processed, 15200
extract-scrapings, INFO, Files processed, 15300
extract-scrapings, INFO, Files processed, 15400
extract-scrapings, INFO, Files processed, 15500
extract-scrapings, INFO, Files processed, 15600
extract-scrapings, INFO, Files processed, 15700
extract-scrapings, INFO, Files processed, 15800
extract-scrapings, INFO, Files processed, 15900
