Docset,File,URL,Python,Term_Total,MSAuthor,Author,Manager,MSDate,MSService,MSTopic,H1,Title,Description,MinutesToRead,LinksInIntroduction,CodeBlocksPython,CodeBlocksCLI
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Custom-Search\call-endpoint-python.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Custom-Search/call-endpoint-python,11,11,aahi,aahill,nitinme,3/4/2019,cognitive-services,quickstart,"Quickstart: Call your Bing Custom Search endpoint using Python
","""Quickstart: Call your Bing Custom Search endpoint using Python | Microsoft Docs""",Use this quickstart to begin requesting search results from your Bing Custom Search instance using Python,2,1,3,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Custom-Search\sdk-python-quickstart.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Custom-Search/sdk-python-quickstart,16,16,aahi,aahill,nitinme,3/5/2019,cognitive-services,quickstart,"Quickstart: Call your Bing Custom Search endpoint using the Python SDK 
","""Quickstart: Call your Bing Custom Search endpoint using the Python SDK | Microsoft Docs""",Use the Bing Custom Search SDK for Python to get custom search results.,2,1,5,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Entities-Search\quickstarts\entity-sdk-python-quickstart.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Entities-Search/quickstarts/entity-sdk-python-quickstart,16,16,v-gedod,mikedodaro,nitinme,2/1/2019,cognitive-services,quickstart,"Quickstart: Bing Entity Search SDK with Python
","""Quickstart: Bing Entity Search SDK, Python""",Setup for Bing Entity search SDK console application.,2,1,4,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Entities-Search\quickstarts\python.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Entities-Search/quickstarts/python,13,13,aahi,aahill,nitinme,2/1/2019,cognitive-services,quickstart,"Quickstart: Send a search request to the Bing Entity Search REST API using Python
","""Quickstart: Send a search request to the Bing Entity Search REST API using Python""","Use this quickstart to send a request to the Bing Entity Search REST API using Python, and receive a JSON response.",2,1,4,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Image-Search\image-sdk-python-quickstart.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Image-Search/image-sdk-python-quickstart,16,16,aahi,aahill,nitinme,3/4/2019,cognitive-services,quickstart,"Quickstart: Search for images with the Bing Image Search SDK for Python
","""Quickstart: Search for images - Bing Image Search SDK for Python""","Use this quickstart to make your first image search using the Bing Image Search SDK, which is a wrapper for the API and contains the same features. This simple Python application sends an image search query, parses the JSON response, and displays the URL of the first image returned.",2,1,5,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Image-Search\quickstarts\python.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Image-Search/quickstarts/python,15,15,aahi,aahill,nitinme,2/6/2019,cognitive-services,quickstart,"Quickstart: Search for images using the Bing Image Search REST API and Python
","""Quickstart: Search for images - Bing Image Search REST API and Python""","Use this quickstart to send image search requests to the Bing Image Search REST API using Python, and receive JSON responses.",2,3,5,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-News-Search\news-sdk-python-quickstart.md,http://docs.microsoft.com/azure/cognitive-services/Bing-News-Search/news-sdk-python-quickstart,18,18,v-gedod,mikedodaro,nitinme,1/10/2019,cognitive-services,quickstart,"Quickstart: Perform a news search with the Bing News Search SDK for Python
","""Quickstart: Perform a news search - Bing News Search SDK for Python""","Use this quickstart to search for news using the Bing News Search SDK for Python, and process the response.",2,1,4,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-News-Search\python.md,http://docs.microsoft.com/azure/cognitive-services/Bing-News-Search/python,12,12,aahi,aahill,nitinme,1/10/2019,cognitive-services,quickstart,"Quickstart: Perform a news search using Python and the Bing News Search REST API
","""Quickstart: Perform a news search with Python - Bing News Search REST API""","Use this quickstart to send a request to the Bing News Search REST API using Python, and receive a JSON response.",2,3,5,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Spell-Check\quickstarts\python.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Spell-Check/quickstarts/python,15,15,aahi,aahill,nitinme,2/20/2019,cognitive-services,quickstart,"Quickstart: Check spelling with the Bing Spell Check REST API and Python
","""Quickstart: Check spelling with the Bing Spell Check REST API and Python""",Get started using the Bing Spell Check REST API to check spelling and grammar.,2,1,7,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Video-Search\quickstarts\python.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Video-Search/quickstarts/python,17,17,aahi,aahill,nitinme,1/31/2019,cognitive-services,quickstart,"Quickstart: Search for videos using the Bing Video Search REST API and Python
","""Quickstart: Search for videos using the Bing Video Search REST API and Python""",Use this quickstart to send video search requests to the Bing Video Search REST API using Python.,2,3,6,0
